"Mã","Chỉ tiêu","Nhóm","Điểm tối đa","Tự đánh giá","Thẩm định","Chênh lệch","Trạng thái","Phụ trách","Hạn xử lý","Minh chứng/Ghi chú"
"1.1","Tỷ lệ người sử dụng có khả năng truy nhập băng rộng cố định với tốc độ trên 1Gb/s","Hạ tầng và Nền tảng số","10","7.04","10","-2.96","Đang thực hiện","","",""
"1.2","Tỷ lệ phủ sóng mạng di động băng rộng 5G trên dân số","Hạ tầng và Nền tảng số","10","7.51","10","-2.49","Đang thực hiện","","",""
"1.3","Tỷ lệ hộ gia đình có kết nối Internet băng rộng cáp quang","Hạ tầng và Nền tảng số","10","9.92","10","-0.08","Đang thực hiện","","",""
"1.4","Mức độ ứng dụng AI","Hạ tầng và Nền tảng số","20","5","0","5.00","Cần bổ sung minh chứng","","","* Thành viên thẩm định: Không thống nhất tiêu chí: . Giải trình: Nhập nội dung không thống nhất
* Thành viên thẩm định: Không thống nhất tiêu chí: . Giải trình: Nhập nội dung không thống nhất
* Thành viên thẩm định: Không thống nhất tiêu chí: . Giải trình: Nhập nội dung không thống nhất"
"1.5","Trang bị máy tính cho CBCCVC","Hạ tầng và Nền tảng số","10","10","10","0.00","Hoàn thành","","","*466/PVHXH - 15/03/2026:  khảo sát cấu hình máy tính"
"1.6","Triển khai Hệ thống camera giám sát an ninh, trật tự xã hội","Hạ tầng và Nền tảng số","10","10","0","10.00","Cần bổ sung minh chứng","","","*808/CAX - 05/06/2026: V/v báo cáo đánh giá mức độ
chuyển đổi số trên địa bàn xã"
"1.7","Nội dung thông tin của đài truyền thanh xã, phường được thực hiện trên nền tảng công nghệ thông tin - viễn thông","Hạ tầng và Nền tảng số","10","10","10","0.00","Hoàn thành","","","*01 - 31/12/2025: Bảng thống kê chi tiết lịch phát links :https://thongtinnguon.tayninh.gov.vn/"
"2.1","Bố trí người làm công tác chuyên trách hoặc đầu mối thực hiện nhiệm vụ chuyển đổi số và an toàn thông tin","Nhân lực số","30","15","15","0.00","Đang thực hiện","","","* Thành viên thẩm định: Thống nhất tiêu chí:"
"2.2","Tỷ lệ công chức, viên chức chuyên trách về chuyển đổi số","Nhân lực số","20","0.38","0.38","0.00","Đang thực hiện","","",""
"2.3","Tỷ lệ công chức, viên chức được bồi dưỡng, tập huấn về chuyển đổi số; kỹ năng số cơ bản (bao gồm các phòng, ban chuyên môn, đơn vị sự nghiệp cấp xã, không bao gồm trường học, y tế)","Nhân lực số","20","20","20","0.00","Hoàn thành","","","*476/KH-UBND - 05/08/2025: Triển khai phong trào"" bình dân học vụ số"" trên địa bàn xã Cần Giuộc
*    1598   /GM-UBND - 10/10/2025: Tham dựtậphuấn nâng cao nhậnthức,kỹnăngchuyểnđổisốnăm 2025
* 1481/GM-UBND - 03/10/2025: GIẤY MỜI Tham dự tập huấn nâng cao nhận thức, kỹ năng chuyển đổi số năm 2025"
"2.4","Số lượng người dân được phổ cập kỹ năng số","Nhân lực số","20","6.47","0","6.47","Cần bổ sung minh chứng","","","*       1362 /KH-UBND - 26/09/2025: Triển khai thực hiện Phong trào “Bình dân học vụ số”  trên địa bàn xã Cần Giuộc giai đoạn 2025 - 2026
* 1307/GM-UBND - 23/09/2025: Họp triển khai các nội dung thỏa thuận hợp tác về thúc đẩy phát triển hạ tầng số, kinh tế số và xã hội số giai đoạn 2023-2030 giữa UBND xã Cần Giuộc và VNPT Tây Ninh"
"2.5","Tỷ lệ thành viên Tổ Công nghệ số cộng đồng được tập huấn, bồi dưỡng về chuyển đổi số, phổ cập kỹ năng số cơ bản","Nhân lực số","10","10","0","10.00","Cần bổ sung minh chứng","","",""
"3.1","Tỷ lệ hệ thống thông tin được xác định và phê duyệt hồ sơ đề xuất bảo đảm an ninh mạng theo cấp độ trước khi đưa vào vận hành, sử dụng (chỉ tính các hệ thống do cơ quan tự quản lý vận hành riêng, không tính các hệ thống đã đưa vào quản lý tập trung tại Trung tâm dữ liệu tỉnh)","An toàn thông tin, an ninh mạng","20","20","20","0.00","Hoàn thành","","","* Thành viên thẩm định: Thống nhất tiêu chí:"
"3.2","Tỷ lệ hệ thống thông tin được kiểm tra, đánh giá mức độ đảm đảm an toàn thông tin, an ninh mạng định kỳ (chỉ tính các hệ thống do cơ quan tự quản lý vận hành riêng, không tính các hệ thống đã đưa vào quản lý tập trung tại Trung tâm dữ liệu tỉnh)","An toàn thông tin, an ninh mạng","20","20","20","0.00","Hoàn thành","","","* Thành viên thẩm định: Thống nhất tiêu chí:"
"3.3","Tỷ lệ hệ thống thông tin triển khai đầy đủ phương án bảo đảm an toàn thông tin, an ninh mạng theo cấp độ đã dược phê duyệt (chỉ tính các hệ thống do cơ quan tự quản lý vận hành riêng, không tính các hệ thống đã đưa vào quản lý tập trung tại Trung tâm dữ liệu tỉnh)","An toàn thông tin, an ninh mạng","20","20","20","0.00","Hoàn thành","","","* Thành viên thẩm định: Thống nhất tiêu chí:"
"3.4","Tỷ lệ máy tính của công chức, viên chức có kết nối mạng LAN, được cài đặt phần mềm phòng, chống mã độc ","An toàn thông tin, an ninh mạng","20","20","14.52","5.48","Cần bổ sung minh chứng","","","*466/PVHXH - 15/03/2026: V/v khảo sát cấu hình máy tínhphục vụ triển khai phần mềm bảnquyền và phần mềm phòng, chốngmã độc"
"3.5","Có tham gia đầy đủ các lớp diễn tập, ứng cứu sự cố ATTT của tỉnh tổ chức","An toàn thông tin, an ninh mạng","10","10","10","0.00","Hoàn thành","","",""
"3.6","Có tham gia đầy đủ các  lớp tập huấn, đào tạo về ATTT của tỉnh","An toàn thông tin, an ninh mạng","10","10","10","0.00","Hoàn thành","","",""
"4.1","Cổng/Trang thông tin điện tử của địa phương cung cấp đầy đủ nội dung thông tin bắt buộc theo quy định tại Nghị định số 42/2022/NĐ-CP và Thông tư số 22/2023/TT-BTTTT","Hoạt động chính quyền số","20","20","17.14","2.86","Cần bổ sung minh chứng","","",""
"4.2","Số lượng ứng dụng, cơ sở dữ liệu chuyên ngành đã kết nối, sử dụng qua LGSP cấp tỉnh","Hoạt động chính quyền số","20","20","20","0.00","Hoàn thành","","",""
"4.3","Tỷ lệ sử dụng dịch vụ công trực tuyến của người dân và doanh nghiệp","Hoạt động chính quyền số","20","20","20","0.00","Hoàn thành","","",""
"4.4","Tỷ lệ hồ sơ trực tuyến toàn trình","Hoạt động chính quyền số","20","10.98","10.98","0.00","Đang thực hiện","","",""
"4.5","Tỷ lệ người dân, doanh nghiệp đánh giá hài lòng khi sử dụng dịch vụ công trực tuyến","Hoạt động chính quyền số","20","20","20","0.00","Hoàn thành","","",""
"4.6","Tỷ lệ hồ sơ TTHC đã giải quyết đúng hạn","Hoạt động chính quyền số","10","10","10","0.00","Hoàn thành","","",""
"4.7","Tổng chi Ngân sách nhà nước cho chuyển đổi số","Hoạt động chính quyền số","20","0.05","0","0.05","Cần bổ sung minh chứng","","",""
"4.8","Tổng chi thường xuyên cho chuyển đổi số","Hoạt động chính quyền số","20","0.05","0","0.05","Cần bổ sung minh chứng","","",""
"4.9","Tổng chi đầu tư cho chuyển đổi số","Hoạt động chính quyền số","20","0","0","0.00","Chưa thực hiện","","",""
"4.10","Tỷ lệ hồ sơ, kết quả giải quyết thủ tục hành chính được số hóa","Hoạt động chính quyền số","10","10","10","0.00","Hoàn thành","","",""
"4.11","Tỉ lệ hồ sơ công việc tại cấp xã được xử lý trên môi trường điện tử (trừ hồ sơ công việc thuộc phạm vi bí mật nhà nước) và sử dụng chữ ký số để giải quyết công việc","Hoạt động chính quyền số","10","9.96","9.96","0.00","Đang thực hiện","","",""
"4.12","Tỷ lệ chế độ báo cáo của cấp xã được thực hiện trên Hệ thống thông tin báo cáo","Hoạt động chính quyền số","10","10","10","0.00","Hoàn thành","","",""
"4.13","Tỷ lệ hệ thống WiFi công cộng miễn phí phục vụ nhu cầu của người dân và du khách tại các điểm công cộng như tại nhà văn hóa, các điểm tham quan du lịch, trụ sở UBND cấp xã","Hoạt động chính quyền số","10","10","10","0.00","Hoàn thành","","","*4785/QĐ-UBND - 03/12/2025: Về việc phê duyệt chủ trương thực hiện nhiệm vụ công trình Thi công cải tạo,sửa chữa hệ thống mạng wifi 26 ấp"
"4.14","Chính quyền cấp xã sử dụng hệ thống, nền tảng họp không giấy trong các cuộc họp","Hoạt động chính quyền số","10","8.03","0","8.03","Cần bổ sung minh chứng","","","* Thành viên thẩm định: tổng giấy mời phát hành từ ngày 01/8/2025 đến 31/12/2025: 508, tổng giấy mời trên HKG 394"
"4.15","Quản lý, chỉ đạo điều hành của UBND cấp xã được hỗ trợ thông qua Trung tâm giám sát, điều hành thông minh (IOC) hoặc hệ thống quản lý dữ liệu tập trung ","Hoạt động chính quyền số","10","10","10","0.00","Hoàn thành","","","* Thành viên thẩm định: Thống nhất tiêu chí:"
"4.16","Sử dụng các nền tảng số hoặc mạng xã hội được chính quyền cấp xã phổ biến đến người dân nội dung thông tin (pháp luật, thông báo, hướng dẫn…) ","Hoạt động chính quyền số","10","10","10","0.00","Hoàn thành","","","* Đơn vị tự đánh giá: ﻿﻿1. Facebook :Xã Cần Giuộc - Chính quyền số, đồng hành và phục vụ Nhân dân :https://www.facebook.com/profile.php?id=61577958211302 2. Zalo OA: Xã Cần Giuộc 3. Cổng thông tin điện tử :https://cangiuoc.tayninh.gov.vn/"
"4.17","
Tỷ lệ lĩnh vực kinh tế – xã hội trên địa bàn cấp xã được quản lý, cập nhật dữ liệu thông qua hệ thống quản lý thông tin dữ liệu số","Hoạt động chính quyền số","10","10","10","0.00","Hoàn thành","","",""
"4.18","Tỷ lệ công chức, viên chức sử dụng phần mềm Quản lý văn bản và điều hành trong xử lý công việc","Hoạt động chính quyền số","10","10","10","0.00","Hoàn thành","","",""
"4.19","Tỷ lệ văn bản điện tử ký số (trừ văn bản mật)","Hoạt động chính quyền số","10","9.83","9.83","0.00","Đang thực hiện","","",""
"4.20","Tỷ lệ hồ sơ công việc lưu trữ điện tử  được tạo lập ","Hoạt động chính quyền số","10","7.57","7.57","0.00","Đang thực hiện","","","* 1043/QĐ-UBND - 03/09/2025: 
Ban hành Quy chế công tác Văn thư, lưu trữ của UBND xã
* 1184/QĐ-UBND - 19/09/2025: 
Về việc ban hành Danh mục hồ sơ năm 2025 của UBND xã Cần Giuộc"
"4.21","Tỷ lệ thực hiện hồ sơ công việc điện tử trên hệ thống","Hoạt động chính quyền số","10","9.96","9.96","0.00","Đang thực hiện","","",""
